Waterbeheerder.omschrijving;Meetobject.namespace;Meetobject.code;Meetobject.lokaalID;Namespace;Monster.Identificatie;Monster.lokaalID;MonsterCompartiment.code;MonsterCompartiment.omschrijving;Orgaan.code;Orgaan.omschrijving;Organisme.naam;Bemonsteringsapparaat.code;Bemonsteringsapparaat.omschrijving;Monsterophaaldatum;Monsterophaaltijd;GeometriePunt.X;GeometriePunt.Y;Meetwaarde.lokaalID;Resultaatdatum;Begindatum;Begintijd;Einddatum;Eindtijd;Typering.code;Typering.omschrijving;Grootheid.code;Grootheid.omschrijving;Parameter.groep;Parameter.code;Parameter.omschrijving;Parameter.CASnummer;Biotaxon.naam;Eenheid.code;Eenheid.omschrijving;Hoedanigheid.code;Hoedanigheid.omschrijving;Levensstadium.code;Levensstadium.omschrijving;Lengteklasse.code;Lengteklasse.omschrijving;Geslacht.code;Geslacht.omschrijving;Verschijningsvorm.code;Verschijningsvorm.omschrijving;Levensvorm.code;Levensvorm.omschrijving;Gedrag.code;Gedrag.omschrijving;AnalyseCompartiment.code;AnalyseCompartiment.omschrijving;Compartiment.code;Compartiment.omschrijving;Waardebewerkingsmethode.code;Waardebewerkingsmethode.omschrijving;Limietsymbool;Numeriekewaarde;Alfanumeriekewaarde;Kwaliteitsoordeel.code;Kwaliteitsoordeel.omschrijving;Rapportagejaar;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507314;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;K;kalium;7-9-7440;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;14;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507315;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Li;lithium;7439-93-2;;ug/l;microgram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;20;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507316;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Mg;magnesium;7439-95-4;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;38;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507317;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Na;natrium;7440-23-5;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;160;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507318;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;SO4;sulfaat;14808-79-8;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;130;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507319;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Cl;chloride;16887-00-6;;mg/l;milligram per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;310;;"""00""";Normale waarde;2020;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507320;18-4-2019;18-4-2019;11:37:00;;;;;MOLRCCTTE;Molaire concentratie;ChemischeStof;HCO3;waterstofcarbonaat;71-52-3;;mmol/l;millimol per liter;NVT;Niet van toepassing;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;4;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507321;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;Ntot;stikstof totaal;NVT;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;1;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507322;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NH4;ammonium;14798-03-9;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
Wetterskip Fryslan;NL02;NL02_0002;"""0002""";NL02;NL02_1906097;"""0002""";OW;Oppervlaktewater;;;;;;18-4-2019;11:37:00;198093;599678;AK_DB_673507323;18-4-2019;18-4-2019;11:37:00;;;;;CONCTTE;(massa)Concentratie;ChemischeStof;NO2;nitriet;14797-65-0;;mg/l;milligram per liter;N;uitgedrukt in Stikstof;;;;;;;;;;;;;OW;Oppervlaktewater;OW;Oppervlaktewater;NVT;Niet van toepassing;;0;;;;;;
